,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
10,2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2013-04-09,,,0.62691474,0.58442605,0.58651024,0.56119615,0.5302254,0.5372757,0.56990415,0.5656163,0.5142329,0.55479354,0.7493922,0.56054306,0.7263745,,,0.6733646,0.5982742,0.5593146,0.52956086,0.5240007,0.5297754,0.56220573,0.56780684,0.5101465,0.52853924,0.72983646,0.50086474,0.7712136,,,,0.57677865,0.55897355,0.5705033,0.57240814,0.5705945,0.5730313,0.54168946,0.51268977,0.5677038,0.64458275,0.53201085,0.70847356,,,,0.5384469,0.5574823,0.6057138,0.5843273,0.5801721,0.57740283,0.5445747,0.5358857,0.62670636,0.5706567,0.54659915,0.67235076,,,,0.5436521,0.5529339,0.5841131,0.59025973,0.5835375,0.5708252,0.55069417,0.5755382,0.6334607,0.50519896,0.61459666,0.63073397,,,,0.598865,0.5839983,0.60087734,0.6084822,0.596248,0.58649796,0.55245537,0.5844319,0.63956606,0.42416894,0.6745798,0.6353232,,,,0.6030929,0.59861827,0.6172282,0.61594635,0.61159235,0.6004031,0.55838406,0.6063533,0.58452076,0.4393931,0.6691847,0.6325227,,,,0.62485206,0.587044,0.6004498,0.61411464,0.61296326,0.5993949,0.56455547,0.5998409,0.47846103,0.46402064,0.61887014,0.6139286,,,,0.63446236,0.5828145,0.59064394,0.60690254,0.5886653,0.5594769,0.5407542,0.57656395,0.38095406,0.4911081,0.5718045,0.5908903,,,,0.62662804,0.5988169,0.59966016,0.59142685,0.5719966,0.56689286,0.6054306,0.62682927,0.363659,0.5394564,0.5748097,0.5849186,,,,0.6099594,0.60549337,0.59718007,0.5934862,0.5829413,0.64752156,0.7346661,0.68328595,0.47000134,0.5317701,0.5729311,0.5810319,,0.67453116,0.6471385,0.580059,0.61018765,0.5993344,0.585646,0.60248804,0.68058246,0.742108,0.68050426,0.56517214,0.55163187,0.5708543,0.57769746,0.574274,0.51782,0.54998183,0.57336384,0.6078309,0.59760046,0.5787701,0.5827695,0.67630327,0.69470805,0.5696431,0.5881456,0.58682686,0.570981,0.5557183
15,2013-04-16,0.042817354,0.042430393,0.042701796,0.04502355,0.04012651,,,,,,,,,0.1267397,0.20681293,0.041720614,0.039931852,0.0389063,0.039476037,0.039051242,,,,,,,,,0.09371323,0.14422873,0.04154011,0.039900113,0.036495253,0.03646116,0.04133836,,,,0.07387756,0.08332929,0.07911576,0.07185752,,0.08886771,0.15524171,0.03894978,0.039379757,0.036348443,0.037001796,0.039197292,0.046642996,0.05306196,0.06272457,0.08733034,0.09470955,0.09416258,0.08293847,0.09066905,0.12606402,0.17327212,0.03988275,0.04091865,0.040849403,0.03964115,0.03994872,0.048705038,0.057360873,0.06695524,0.08613489,0.108314455,0.11750769,0.12590992,0.14515412,0.16076556,0.15434457,0.04246423,0.04316192,0.042410694,0.04145242,0.04371359,0.05255783,0.055034004,0.08152425,0.121051215,0.14118472,0.17618683,0.27491403,0.2508251,0.1593191,0.13608566,0.0468821,0.04472507,0.041918874,0.043397788,0.052486666,0.051906243,0.05422102,0.10807967,0.16384776,0.15457773,0.18447806,0.176119,0.16161413,0.122221425,0.10237452,0.04955791,0.05498731,0.05367,,0.06829592,0.06761416,0.06992712,0.111821435,0.12373981,0.13392875,0.12948036,0.115547016,0.11285614,0.094635315,0.08294453,0.055530723,0.059871797,0.066067204,0.07881643,0.09162656,0.10123672,0.10228757,0.105511226,0.10768449,0.11024758,0.09294017,0.0825263,0.07801769,0.065768465,0.05835614,0.071329355,0.071781054,0.08261615,0.09296618,0.09810156,0.1090466,0.085046105,0.05717308,0.060890473,0.056999743,,0.046301626,0.048498705,0.04451731,0.046243396,0.09155848,0.08576659,0.08115614,0.07938158,0.08014549,0.07908867,0.05124955,0.04225268,0.041430444,,,0.029648352,0.035074394,0.03906387,0.04419112,0.07139582,0.060896493,0.057096437,0.05725802,0.052734654,0.044874515,0.042171773,0.037196945,,,,0.029091727,0.030319415,0.04140614,0.05018064,0.053976465,0.047478784,0.05058563,0.051286142,0.047225043,0.040598735,0.036300328,0.034654994,,,0.029516382,0.031703185,0.036664132,0.05473362,0.07802871
16,2013-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2013-04-30,,,,,,0.7808375,0.75757223,0.75795025,0.77734166,0.7668711,0.74963313,0.7560889,0.8003373,0.59986746,0.8213481,,,,,,0.7515608,0.74290454,0.74151284,0.76276624,0.75716305,0.7406534,0.7589054,0.74871916,0.6215488,0.79930985,,,,,,0.7687637,0.77415335,0.770513,0.7801765,0.75113386,0.73666024,0.7616339,0.68112224,,0.7546924,,,,,,0.7842882,0.7839419,0.78715235,0.78348446,0.7505886,0.7499886,0.7708727,0.64353997,,0.7478938,,,,,0.75803316,0.76494724,0.77468616,0.7726865,0.7651159,0.7548068,0.7582851,0.76600826,0.6796016,,0.774022,,0.7830096,,,0.78134245,0.77477676,0.77352375,0.7713989,0.75940996,0.75587547,0.7722524,0.7346463,0.68562984,0.72808397,0.7618209,,,,,0.7941103,0.7802301,0.7792546,0.78003746,0.7702585,0.7763511,0.7593447,0.70065504,0.6532172,0.7127338,0.7606928,,,,0.79213256,0.78540295,0.7785205,0.7847679,0.78766567,0.7746579,0.7736813,0.7271085,0.6757847,,0.74292994,0.77432525,,,,0.77947664,0.7759553,0.7765618,0.7794233,0.7823883,0.7661713,0.73497903,0.6935806,,0.5983783,0.7793422,0.78861165,,,,0.76441735,0.7708494,0.7795986,0.7742659,0.7702836,0.7493067,0.736847,0.69977236,,0.6455181,0.778927,0.7956328,,,,0.749842,0.7719077,0.7774557,0.7715883,0.77807325,0.7787837,0.7875502,0.73656446,0.67633975,0.72758925,0.78703356,,,,0.7356508,0.75311434,0.7689182,0.7788018,0.778488,0.79159784,0.79501057,0.78595316,0.7459789,0.7368477,0.7658048,0.7869217,0.7988385,,,0.7187928,0.7496291,0.77055645,0.78667414,0.7853295,0.7845834,0.7689624,0.7456422,0.71540695,0.7529586,0.78163123,,0.79715884
18,2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2013-05-21,0.05199732,,,,0.060979635,,,,,0.14298561,,,,0.1077484,0.1047827,0.054402344,,,,,,,,0.16436595,0.20870443,0.16698106,,,0.082377106,,0.055325296,0.05096342,,0.048298944,0.04797467,,,,0.15471858,0.17141986,0.13716425,,,,,0.05667347,0.049953803,0.04750588,0.046737295,0.051905613,,,,0.11473087,0.10856335,,,,,,0.0539584,0.047022216,0.040001225,0.03770447,,,,0.084249206,0.08568094,,,,,,,0.052462403,0.046235118,0.040187538,0.037745684,,,,0.083781086,0.107664585,0.123379275,,,,,,0.058331408,0.05205085,0.04452078,0.037212674,,,,0.0863125,0.12292173,0.13711214,,,,,,0.06716771,0.056523915,0.05038183,,,,,0.07249483,0.08991416,0.09490902,,,,,,0.0830282,0.08464254,0.07006891,,,,,0.07155354,0.079616986,,,,,,,0.100551605,0.0868806,0.07279171,,,,,,,,,,,,,0.09046489,0.07453113,0.06027426,,,,,0.06511037,,,,,,,,0.06612763,0.06352719,,,,,,,,,,,0.07875308,,,0.054100256,0.05166724,,,,,,,,,,,,,
21,2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2013-06-04,0.4577445,0.5747329,0.53924197,0.4423251,0.4098859,0.43680435,0.4393192,0.47876486,0.475864,0.47573045,0.5765535,0.53559154,0.32694036,0.260138,0.1881518,0.40839723,0.43398273,0.4040213,0.35776052,0.32918614,0.34242395,0.3496404,0.3596298,0.39229602,0.3611575,0.36156997,0.2849627,0.22786073,0.20419696,0.18290354,0.3235315,0.3373793,0.34814,0.3244905,0.30501762,0.29197738,0.2928071,0.32150364,0.2826864,0.22639088,0.24119948,0.23882218,0.22363822,0.19948299,0.1523003,0.28145972,0.31314084,0.32678938,0.27325225,0.23674093,0.22400256,0.26453,0.21442945,0.15984878,0.15030421,0.170157,0.1840218,0.1709284,0.14760298,0.123598635,0.2713463,0.2880046,0.29926062,0.2404879,0.1920422,0.18367845,0.17632918,0.14558439,0.12178923,0.12664516,0.13847083,0.13757344,0.1260531,,0.12032716,0.2740703,0.2985967,0.33817452,0.2467406,0.18584132,0.16878259,0.1514026,0.12280954,0.1187155,0.11571949,0.11603254,,0.118530996,,0.13104804,0.280677,0.31026796,0.3548839,0.27145258,0.18570709,0.1631402,0.13639627,0.12026392,0.11715532,0.11678283,,,0.11659491,,0.1435718,0.2512444,0.25117522,0.2662928,0.22973281,0.17390405,0.16665184,0.14290947,0.1300535,0.12259249,0.123311296,,0.11834083,0.122199014,0.12730664,0.12804982,0.23185329,0.19899963,0.2006218,0.19710791,0.18360984,0.16818166,0.15223286,0.13391441,0.12637906,0.12808321,0.1285169,0.13493961,0.14363435,0.14548829,0.1313891,0.2524987,0.2194082,0.18985772,0.17619194,0.17196584,0.1593778,0.14150137,0.12619618,0.12186131,0.13814062,0.152846,0.16020404,0.16743289,0.16636245,0.14911357,0.2615572,0.22940965,0.18635954,0.16681807,0.15866664,0.15685476,0.14063974,0.12775515,0.13342853,0.16376057,0.19206473,0.20619659,0.19801879,0.18787646,0.17889845,0.24353434,0.1987723,0.17542495,0.17604388,0.17238827,0.16597313,0.14635551,0.13651921,0.14965302,0.17490019,0.18681687,0.21259218,0.2426082,0.227942,0.23033985,0.19700176,0.17402036,0.17086539,0.17225015,0.16287349,0.1560609,0.15267217,0.1479016,0.16523644,0.18729275,0.20902632,0.24563713,0.26633677,0.26970148,0.29376516
23,2013-06-11,,0.82332486,,,,,,,0.8938791,0.89523685,0.8954078,,0.82620496,0.6889994,0.7360327,,,,,,,,,,,,,,0.6464311,0.7801393,0.7909759,,,,,,,,,,,,,0.61159325,0.7880399,0.8033399,0.80701935,,,,,,,,,,,,0.6366448,0.8059491,0.8031119,0.7898066,0.83928305,,,,,,,,,,0.7353915,,0.8554342,0.77544326,0.78705126,0.8403876,,,,,,,,,0.85596675,0.7092971,,,0.7606369,0.7893463,0.8323037,,,,,,,,,,0.67337364,,,,0.763083,0.829676,,,,,,,,,,,,,,0.7935447,,,,,,,,,,0.6116931,,,,0.7647342,0.80350715,,,,,,,,,,,,,,0.76926666,0.80919653,,,,,,,,0.8778137,,,,,,0.7945644,,,,,,,,0.8838707,0.88048077,,,,,,,,,,,,,,0.87500674,0.883186,,,,,
24,2013-06-18,,0.82332486,,,,,,,0.8938791,0.89523685,0.8954078,,0.82620496,,0.7360327,,,,,,,,,,0.89208484,,,,0.6464311,0.7801393,0.7909759,0.8119761,,,,,,,,,,,,0.61159325,,0.8033399,0.80701935,,,,,,,,,,,,0.6366448,0.8059491,0.8031119,0.7898066,0.83928305,,,,,,,,,0.87698424,0.7353915,,0.8554342,0.77544326,0.78705126,0.8403876,,,,,,,,,0.85596675,0.7092971,,,0.7606369,0.7893463,0.8323037,,,,,,0.89510655,,,,0.67337364,,0.8847516,,0.763083,0.829676,,,,,,0.8945846,,,,,,,,0.7935447,,,,,,,,,,0.6116931,,,,0.7647342,0.80350715,,,,,,,,,,,,,,0.76926666,0.80919653,,,,,,,,0.8778137,,,,,,0.7945644,,0.8564464,,,,,,0.8838707,0.88048077,,,,,,,,,,,,,,0.87500674,0.883186,,,,,
25,2013-06-25,0.74677265,0.8010039,,,,,,,,,,,0.849557,0.6476167,0.79542154,0.7097069,0.78542846,,,,,,,,,,,0.73311377,,0.7818792,0.7319687,0.78452504,,,,,,,,,,,0.7057171,,0.7680269,0.7564021,0.78953695,,,,,,,,,,,,,0.80582976,0.73007274,0.77749556,0.8358239,,,,,,,,,,,,,0.7121607,0.7578038,0.8320212,,,,,,,,,,,,,0.7144699,0.7530186,0.8293632,,,,,,,,,,0.68211246,,,0.7481325,0.7415462,0.8236285,,,,,,,,,,,,,0.7553287,0.73908824,0.82542366,,,,,,,,,,,,,0.7241678,0.76020163,,,,,,,,,,,,,,0.74270266,0.7915843,,,,,,,,0.8735811,,,,,,0.80116075,,,,,,,,,0.8801887,,,,,,,,,,,,,,,,,,,,
26,2013-07-02,0.13291341,0.13889697,,0.15749554,0.15383919,,,,,,,,0.14265029,0.1312954,0.13358235,0.13974632,0.14930359,0.15626214,0.15154797,,,,,,,,,0.14242488,0.11952466,0.11153657,0.13535129,0.13704108,0.13912588,,,,,,,,,0.14932908,0.1336547,0.10985145,0.09561477,0.12928304,0.13279656,0.12941691,,,,,,,0.127494,0.13316791,0.1392405,0.12913312,0.10818202,,0.12932178,0.13462497,0.12865673,,0.115295686,0.111348175,,,0.12139387,,0.11945528,0.12300462,0.117875665,,,0.117323786,0.11414458,0.11245677,,,,,,,,,,0.11430822,,,0.10902807,0.107167155,0.10757747,,,0.12571292,0.12673423,0.124424644,0.12552844,,,,0.11627493,,,0.10967721,0.11036666,0.108412996,,,0.11644249,0.12034834,0.11976978,0.12519701,0.12088907,,0.108208194,0.106912464,,,0.11553956,0.10816868,0.10241559,,,,,0.11431943,0.118225284,,,0.09975764,,,,0.118900806,0.110794,0.10968414,,,,0.11255715,0.113137245,0.11980747,,,,,,,0.11534504,0.109803,0.11267591,,,,,0.11058039,0.11303233,,,,,,,0.11034733,0.11612045,0.11718581,,,,,,,,,,,,,0.10406844,0.119831935,0.12209452,,,,,,,,,,,,
27,2013-07-09,0.7422013,,,,,,,,0.9023403,0.9015591,0.89875466,,,0.65799665,0.80063695,0.741477,,,,,,,,0.8953773,0.8974863,,,,0.6196596,0.81176925,0.7487171,,,,,,,,,,,,0.7580281,0.64872295,0.775179,0.73072875,,,,,,,,,,,0.8633705,0.6535587,,,0.75623477,,,,,,,,,,,0.85888755,0.6670186,,,0.74374545,,,,,,,,,,,0.8398826,0.7215083,,0.8810539,0.75291485,,,,,,,,,,,0.7567234,,,0.88367516,0.7496516,0.803697,,,,,,0.8958137,0.89985895,,,0.65540016,,0.8600336,0.8831402,0.71572745,,,,,,0.89518213,,,,,0.5970771,,0.8694007,0.8847604,0.69923365,,,,,,,,,,0.7918674,,,0.8546951,0.873878,0.72700316,0.7929505,0.8354985,0.8856157,0.8812897,0.88013095,0.8809934,0.8805671,0.8872504,0.86324173,0.84434277,,,0.88348854,0.8836699,0.7860696,0.8284288,0.8442761,0.8607153,0.87555456,0.8797709,0.8748451,0.8843419,0.8870751,0.8761499,0.8761296,,,0.88894767,0.8007692,,0.875266,0.8612924,0.8625306,0.8880292,0.89016473,0.8768169,0.8843301,0.88258165,0.8907046,0.88524765,,0.8761654,0.7181199,0.5337318
28,2013-07-16,0.73709655,0.77648807,0.80766773,0.81017023,0.8064641,0.8080626,0.8122401,0.8217463,0.82612956,0.82028764,0.81074375,0.7962302,0.7103139,0.63032126,0.69370234,0.704438,0.76468724,0.8071558,0.8221496,0.80422,0.8007663,0.80085623,0.8074374,0.81875527,0.8144729,0.79773307,0.7779865,0.6831947,0.6063427,0.7015195,0.7007742,0.7533601,0.8091609,0.8119804,0.79199713,0.78694594,0.7856239,0.7907011,0.80330956,0.80611503,0.8001442,0.777649,0.6945619,0.5969302,0.679635,0.69995767,0.7712387,0.7930518,0.81113935,0.7958412,0.78900236,0.7877795,0.79098016,0.79889935,0.7977912,0.79595566,0.7798729,0.69410384,0.5970617,0.7049538,0.6967474,0.7757003,0.7807667,0.81151617,0.8023893,0.7974635,0.79180694,0.7947723,0.79490113,0.7943097,0.7960674,0.7748561,0.69336414,0.6621275,0.7568556,0.7019343,0.76838756,0.7900345,0.8103841,0.81143755,0.8056937,0.79793876,0.78708595,0.7923367,0.7973545,0.8054238,0.76507705,0.68877906,0.73360276,0.78661263,0.6833788,0.7594385,0.777628,0.81539327,0.8112621,0.80464876,0.7971068,0.7924183,0.8054736,0.8118291,0.79805607,0.7350912,0.6359662,0.75821733,0.79708993,0.6983654,0.72722626,0.7704376,0.81218934,0.79851294,0.79737455,0.79644126,0.79883814,0.81478155,0.8201638,0.7850567,0.6783508,0.62292325,0.772875,0.8046132,0.67404205,0.7065442,0.757289,0.796184,0.79118073,0.78764427,0.7962166,0.80025125,0.81828535,0.8135768,0.76264524,0.622103,0.65793055,0.7926963,0.80249447,0.6577466,0.7167989,0.764228,0.7952457,0.79125684,0.79015416,0.79933625,0.80712485,0.82041925,0.7992681,0.7598341,0.6230939,0.7510136,0.8058083,0.8023473,0.6777201,0.75140035,0.7634403,0.80365354,0.79457366,0.7943879,0.80376357,0.8132718,0.8167601,0.80276936,0.7899527,0.77406126,0.78819644,0.80123115,0.7968488,0.7300902,0.78597325,0.7794325,0.8082482,0.8028421,0.8060545,0.81690085,0.82650995,0.82290584,0.81398606,0.8081253,0.79926205,0.7922583,0.7973059,0.80265623,0.8123342,0.8276168,0.8131865,0.8142331,0.8169958,0.8257578,0.8299358,0.827957,0.824855,0.82623523,0.81508595,0.8069225,0.8025863,0.7964732,0.8005919
29,2013-07-23,0.763524,0.8123891,,,,,,,0.90545774,0.9034129,0.9042581,0.9016695,0.7937655,0.57409704,0.7944037,0.6761514,0.77490187,0.8760646,,,,,,0.9052534,0.9025711,,,0.66327477,0.63727283,0.76033103,0.68841124,0.77719533,,,,,,,,0.9043039,,,0.6453263,0.6697075,0.7023869,0.753103,0.788948,0.8656678,,,,,,,,,,0.7292633,0.5910162,0.754282,0.7276944,0.80792844,0.8320964,,,,,,,,,0.8860445,0.7623911,0.663295,0.8602638,0.68112975,0.78749114,0.842574,,,,,,,,,0.85785526,0.7096137,0.7940288,0.8898132,0.6228154,0.7433969,0.81328374,,,,,,0.903312,,0.8455202,,0.60580987,,0.88765305,0.6120305,0.700271,0.7968243,,,,,0.9024868,0.9019868,,0.8336124,,0.5958118,,0.8912787,0.6017776,0.68515444,0.7905019,0.8880849,,,0.9038896,,,0.88192374,,0.6244894,0.6895087,,0.89741385,0.6063775,0.7175206,0.8050276,,0.90091234,,,,,0.85694546,,0.621277,,,,0.652051,0.7629993,0.80264324,0.9001954,0.9020424,,0.90485543,,,0.86993283,,,,,0.89024806,0.7528237,0.83506376,0.8462526,0.8980955,0.9034121,,0.90724707,0.91204983,0.8998442,0.8798137,,,0.90119046,0.89371866,0.88842934,,,,0.8968484,0.9036315,0.9087914,0.9111044,,0.893305,0.89434177,0.8999922,0.8817401,0.88087964,0.8838133,
