,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
10,2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2013-04-16,0.032296494,0.03300062,0.033486035,0.033492245,0.03342764,0.03370845,0.0354312,0.036851484,0.03751054,0.035246298,0.03477482,0.035010327,0.030751077,0.032741077,0.03418378,0.03400055,0.0350432,0.033910055,0.034065545,0.036546312,0.036778282,0.034815457,0.034843948,0.035490006,0.030904515,0.03194194,0.033643518,0.033776514,0.03324524,0.034343984,0.03370405,0.034861244,0.0363417,0.035629515,0.034852017,0.03448534,0.03154437,0.03174397,0.033874206,0.03388292,0.034491338,0.035439774,0.034363247,0.03562353,0.035273686,0.03612683,0.03532604,0.03493075,0.031632878,0.029931063,0.032934044,0.03396008,0.033888377,0.034822,0.03458938,0.034721073,0.03432482,0.035713885,0.035561413,0.035439774,0.031495713,0.031371012,0.032505296,0.03302433,0.033781793,0.034471855,0.03460106,0.034617133,0.034184277,0.03632302,0.03666465,0.035862103,0.030955918,0.032076184,0.03194455,0.032923188,0.034015264,0.03377798,0.034415044,0.033390038,0.03514654,0.036130432,0.03618756,0.03491113,0.030979915,0.03132215,0.031820625,0.032701246,0.034007043,0.033677742,0.034152526,0.034108333,0.03503482,0.03550059,0.036195412,0.03623705,0.030665847,0.03127364,0.032631885,0.033630833,0.034486797,0.033640753,0.034177788,0.03512867,0.035112664,0.03544068,0.034085773,0.034085773,0.03255318,0.032568544,0.034070875,0.034299035,0.034035817,0.03401204,0.03556925,0.03624444,0.035231363,0.034743503,0.033123497,0.033123497
16,2013-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2013-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7062276,,,,,,,,,,,,,,,,0.6108622,,,,,,,,,,,0.6776782,0.606775,,,,,,,,,,,0.68661606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2013-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2013-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2013-06-18,,,,,,0.7615093,0.81073153,,,0.76971674,,,,,,,,,0.84174734,,,,,,,,,,,,,,,,,0.7851796,,,,,,,,,,,,0.7997074,,,,,,,,,,,,,,,,,,,,,,,,,,0.9006936,0.9049088,,,,,,,,,,,0.9046662,0.90620774,,0.9049777,,,,,,,,,,0.91142297,0.9101033,0.907485,0.90541935,,,0.9058553,,,,,,,,0.90615785,,,0.90359527,,,,
25,2013-06-25,,,0.8530059,,0.86340106,0.7615093,0.81073153,0.8855966,0.8154266,0.76971674,,0.8960713,,,0.89621735,0.8947033,0.8759786,0.830563,0.84174734,,,0.8252082,0.784397,0.8479567,,,,0.8949609,0.89513385,0.87234867,,,,0.87728024,0.8060097,0.7851796,,,,,,,,,,,,0.7997074,,,0.8957818,,,,0.9043356,0.9020798,0.90280354,,0.8985222,0.8717596,0.8940015,0.8966389,0.9025552,,,,0.9057705,0.9027635,0.9060997,0.902477,0.90114033,0.90038425,0.9005668,0.9006936,0.9049088,0.9101658,,0.90595955,0.90679395,0.9016899,0.9005545,0.9009706,0.903565,0.9044704,0.9029695,0.9046662,0.90620774,0.90728617,0.9049777,0.9051968,0.90200096,0.9002136,0.90388995,0.90470773,0.90558505,0.90445477,0.9101693,0.90935236,0.91142297,0.9101033,0.907485,0.90541935,0.9024887,0.90138686,0.9058553,0.9070559,0.9053812,0.9053812,0.90457183,0.9091251,0.9084788,0.90747744,0.90615785,0.9058977,0.9043534,0.90359527,0.9071661,0.90910107,0.90917665,0.90917665
26,2013-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2013-07-09,0.84157854,0.8335174,0.81991833,0.8453383,0.8157177,0.7442561,0.7830798,0.84738284,0.79573053,0.72370946,0.76920366,0.8461764,0.79943657,0.8053524,0.8386564,0.8408345,0.8255079,0.78304255,0.8161822,0.8316627,0.83763564,0.7908226,0.7395369,0.80366707,0.82697934,0.8331583,0.8368877,0.8444869,0.84966296,0.8237378,0.8477732,0.854202,0.86073166,0.8392933,0.7519889,0.74484587,0.8379067,0.8393561,0.8412761,0.8277906,0.84214854,0.8397512,0.85096097,0.8604878,0.86014867,0.8559184,0.8353315,0.76002085,0.84016305,0.8430259,0.84474576,0.8418872,0.8390048,0.84008294,0.8562474,0.8583859,0.8576967,0.8575104,0.85577875,0.82575303,0.85007197,0.85052156,0.8538225,0.8587591,0.85569143,0.85680956,0.85548854,0.8563969,0.85563314,0.8569592,0.85619885,0.85723466,0.85539824,0.85720897,0.8603352,0.860793,0.86407864,0.86032313,0.85880804,0.85404545,0.85419035,0.85269475,0.85870963,0.86315644,0.85617274,0.85585725,0.85705745,0.8577497,0.8551731,0.85677654,0.8574838,0.85550666,0.85563695,0.8589709,0.8614345,0.8635151,0.8603556,0.85864776,0.86042434,0.85924023,0.8599828,0.8590431,0.8597811,0.8558026,0.8585143,0.8602821,0.8635567,0.8635567,0.8588482,0.8569466,0.8630352,0.85965335,0.85225004,0.8528897,0.8558324,0.8585578,0.8598349,0.8645685,0.8683534,0.8683534
28,2013-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2013-07-23,0.85458523,0.8448626,0.83071166,0.87027115,0.8372081,0.76099324,0.80667526,0.8594154,0.7821388,0.702002,0.737729,0.8417631,0.7938168,0.7926155,0.8673692,0.8598861,0.844331,0.8160532,0.8367708,0.84813696,0.8389895,0.76940227,0.6881806,0.7734796,0.852552,0.85496306,0.8639071,0.85804904,0.862937,0.83876634,0.8663044,0.8759484,0.8711613,0.8384976,0.74294984,0.71190566,0.8681289,0.8591785,0.85951436,0.8410216,0.8523385,0.85218877,0.86892813,0.8809756,0.8744326,0.8730078,0.8503254,0.75962645,0.8660962,0.8621878,0.86346304,0.8523371,0.8472694,0.852538,0.8731646,0.87510085,0.878111,0.8797994,0.87502396,0.843093,0.8693048,0.8740572,0.87704223,0.87812346,0.87498176,0.8745552,0.8758625,0.87423253,0.8781699,0.87703586,0.87610304,0.875453,0.8790841,0.8828249,0.88316685,0.88523024,0.8846019,0.8803248,0.87615734,0.87194216,0.8723104,0.875676,0.8801634,0.8795381,0.8761708,0.8799381,0.88353896,0.88490176,0.88179004,0.881491,0.87658596,0.87327707,0.8762992,0.88027674,0.88241446,0.88129866,0.8821271,0.88325256,0.8833239,0.88614166,0.8869899,0.880831,0.8766963,0.8773423,0.88008016,0.88183504,0.88014054,0.88014054,0.8673966,0.8733925,0.8732132,0.88034606,0.8806801,0.8765379,0.8738467,0.8765809,0.8787032,0.88075703,0.88349885,0.88349885
30,2013-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2013-08-06,0.7867487,0.783945,0.8167443,0.8431314,0.83723813,0.7166788,0.8294472,0.83541894,0.7617125,0.6619479,0.69699067,0.7891682,0.74205893,0.7762752,0.85583943,0.8409525,0.83104587,0.7543798,0.8427654,0.83147603,0.8131164,0.71344143,0.6415451,0.7199397,0.8144514,0.81347275,0.845773,0.8187721,0.8248825,0.8350171,0.8484841,0.8516565,0.85597426,0.81871384,0.71114284,0.68615717,0.8316641,0.84297115,0.7982566,0.7920994,0.8032341,0.82672215,0.84093,0.85122603,0.84729165,0.8485945,0.83918387,0.75256765,0.8301378,0.83098024,0.80614364,0.8053638,0.7953857,0.8282841,0.8421465,0.8463666,0.8479155,0.8697781,0.86340946,0.8320126,0.85440904,0.8513114,0.83905226,0.829415,0.82139754,0.8327605,0.8380828,0.8489904,0.8628793,0.8660168,0.86031216,0.86329883,0.8386298,0.85919416,0.8563685,0.8473747,0.84567523,0.85336995,0.8290526,0.8348699,0.84804493,0.8655158,0.86715627,0.86950874,0.82275826,0.82889485,0.84382385,0.8519059,0.87533355,0.8574265,0.8397345,0.8342731,0.84187263,0.86158955,0.86739683,0.87304986,0.83169687,0.8339123,0.844337,0.85974777,0.874553,0.8543464,0.83553225,0.83264,0.8498791,0.8524269,0.8559746,0.8559746,0.81798196,0.82563275,0.8303397,0.8671057,0.8698331,0.84726435,0.83922297,0.8377742,0.8527091,0.85570115,0.85136354,0.85136354
32,2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2013-08-27,,,,,,0.7489267,,,,0.69199365,0.7225526,0.8086806,,,,,,0.77070206,,,,0.73305935,0.6709098,0.74438596,,,,,,,,,,,0.7270074,0.7063552,,,,,,,,,,,,,,,0.80969954,,,,,,,,,,,,,,,,,,,,,,,0.8559791,,,,,,,,,,,0.8360756,0.83959466,0.8526638,,,,,,0.838328,,,,,,0.8484839,0.85308945,,,0.8317461,0.8343715,0.8431535,,,,,,,,,0.8389669,0.83908606,0.83512837,0.8462289,,,
35,2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2013-10-08,0.08574181,0.08512326,0.09507814,0.10101377,0.099479675,0.103461914,0.10200274,0.10402081,0.10391172,0.09809164,0.09436135,0.098200075,0.0880468,0.08788071,0.09083507,0.09838571,0.103874065,0.10316109,0.088352434,0.0850652,0.087065876,0.08836256,0.07941688,0.093797095,0.08830359,0.09166792,0.09466677,0.099608846,0.10471455,0.089285314,0.08323142,0.07534324,0.07373815,0.07170049,0.070827685,0.077897646,0.086439356,0.0879918,0.092584886,0.097040065,0.10163348,0.08864904,0.08590411,0.07780025,0.06917709,0.0692288,0.07345224,0.07226814,0.08627416,0.08571288,0.09019035,0.09796406,0.09828486,0.0844098,0.082769886,0.07859309,0.0768005,0.07719729,0.0744844,0.07267195,0.08660583,0.08665676,0.085344434,0.08797316,0.08265441,0.08017068,0.07722516,0.06731094,0.06998556,0.070847034,0.068353824,0.07058747,0.08460481,0.08508577,0.08361932,0.0812071,0.07543931,0.068859175,0.06821371,0.066906296,0.064692244,0.06727339,0.071313344,0.072011,0.07954617,0.0781645,0.078302026,0.074526474,0.059844766,0.06425312,0.0728083,0.07200023,0.066959664,0.07062336,0.07363349,0.0783144,0.07441262,0.07058782,0.06473434,0.05616468,0.058065034,0.060127314,0.06888333,0.07175264,0.07119802,0.071352504,0.07595742,0.07595742,0.06739168,0.06494609,0.06253923,0.05416315,0.06073218,0.0645748,0.069055215,0.069879554,0.069207326,0.067515366,0.06862645,0.06862645
41,2013-10-15,0.08574181,0.08512326,0.09507814,0.10101377,0.099479675,0.103461914,0.10200274,0.10402081,0.10391172,0.09809164,0.09436135,0.098200075,0.0880468,0.08788071,0.09083507,0.09838571,0.103874065,0.10316109,0.088352434,0.0850652,0.087065876,0.08836256,0.07941688,0.093797095,0.08830359,0.09166792,0.09466677,0.099608846,0.10471455,0.089285314,0.08323142,0.07534324,0.07373815,0.07170049,0.070827685,0.077897646,0.086439356,0.0879918,0.092584886,0.097040065,0.10163348,0.08864904,0.08590411,0.07780025,0.06917709,0.0692288,0.07345224,0.07226814,0.08627416,0.08571288,0.09019035,0.09796406,0.09828486,0.0844098,0.082769886,0.07859309,0.0768005,0.07719729,0.0744844,0.07267195,0.08660583,0.08665676,0.085344434,0.08797316,0.08265441,0.08017068,0.07722516,0.06731094,0.06998556,0.070847034,0.068353824,0.07058747,0.08460481,0.08508577,0.08361932,0.0812071,0.07543931,0.068859175,0.06821371,0.066906296,0.064692244,0.06727339,0.071313344,0.072011,0.07954617,0.0781645,0.078302026,0.074526474,0.059844766,0.06425312,0.0728083,0.07200023,0.066959664,0.07062336,0.07363349,0.0783144,0.07441262,0.07058782,0.06473434,0.05616468,0.058065034,0.060127314,0.06888333,0.07175264,0.07119802,0.071352504,0.07595742,0.07595742,0.06739168,0.06494609,0.06253923,0.05416315,0.06073218,0.0645748,0.069055215,0.069879554,0.069207326,0.067515366,0.06862645,0.06862645
42,2013-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2013-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2013-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2013-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2013-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2013-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2013-12-17,,,,,,,,,,,,,,0.22429706,0.33480906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2013-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019326892,0.0006446168,,,,,,,0.00020148934,0.001221813,0.0007623792,0.0006846387,0.0014864219,0.004591094,,,,,,,0.001089031,0.001918537,0.0041374834,0.003716098,0.002605543,0.0053924853,,,,,,,,0.0021761085,0.0024075895,0.0032477784,0.0046908353,0.0046908353,,,,,,,,,0.0008447562,0.00015331774,0.0025710114,0.0025710114
53,2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2014-01-14,0.25140467,0.25003964,0.24969938,0.22685361,0.25556394,0.2604375,0.29081747,0.28888083,0.2609227,0.27667156,0.26853573,0.26364258,0.2729048,0.25282583,0.25902668,0.25182918,0.2646136,0.27201888,0.27440038,0.27436352,0.26618204,0.2778119,0.28366634,0.28343278,0.274379,0.2889121,0.289509,0.2715601,0.26891103,0.27654862,0.26767802,0.26961628,0.26589724,0.27373052,0.27852616,0.25441802,0.27847806,0.2950035,0.30393633,0.29068312,0.27731478,0.2984898,0.26914895,0.24852483,0.2611922,0.2695933,0.26401132,0.2710038,0.28395268,0.29379675,0.2811313,0.2809334,0.26555365,0.27600253,0.26484042,0.24521413,0.25990787,0.25509423,0.26053172,0.2627026,0.27166703,0.28713834,0.27600065,0.2759799,0.27544975,0.2581857,0.2619314,0.26611093,0.25079396,0.24853691,0.26569474,0.25870982,0.28451976,0.28136733,0.27749354,0.26792163,0.2540246,0.24277583,0.2710935,0.26455554,0.24951722,0.25799903,0.25477427,0.24483398,0.29222474,0.28888074,0.28310296,0.28371492,0.25351253,0.25001207,0.26276672,0.26020697,0.24122572,0.25375518,0.2545061,0.24469328,0.27707365,0.28465474,0.2728324,0.26529914,0.25707892,0.26832533,0.27123103,0.26594728,0.26281333,0.26121026,0.26559335,0.26559335,0.27115062,0.2611149,0.27075467,0.26450062,0.26656586,0.27883312,0.25550926,0.24554159,0.2580279,0.26184392,0.25892776,0.25892776
55,2014-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2014-01-28,0.020618955,0.023930559,0.02743113,0.029347705,0.033439558,0.032617006,0.034292184,0.03628774,0.034062564,0.035049077,0.0382007,0.038794518,0.021635035,0.023639364,0.026363507,0.028159697,0.02977339,0.03143852,0.031014515,0.030689938,0.028653927,0.030899866,0.030307291,0.03799129,0.023830011,0.02530279,0.024986666,0.027053695,0.03209871,0.030241566,0.026707094,0.026007991,0.024606537,0.027848681,0.028956288,0.034058396,0.028185291,0.028152425,0.030029029,0.029578052,0.030993491,0.028349472,0.026945736,0.026623737,0.024313392,0.026069585,0.028976299,0.031199977,0.027524708,0.030497408,0.034379747,0.030697297,0.02948928,0.024438653,0.024958337,0.025014147,0.023856437,0.026166221,0.029006835,0.031406377,0.028775036,0.034503743,0.036990248,0.033002358,0.026314072,0.023788355,0.02211754,0.025738489,0.02406946,0.024238383,0.025161663,0.025967881,0.026092,0.030395104,0.03087908,0.027663246,0.024302993,0.026590668,0.02762836,0.0260981,0.024429949,0.022153886,0.022939028,0.02495173,0.018191557,0.02300515,0.024398122,0.026432911,0.02740417,0.027444134,0.024090338,0.025007894,0.021713138,0.02188895,0.023958387,0.025196439,0.020719094,0.024326194,0.023634164,0.026194327,0.027073557,0.023925157,0.023355804,0.022050157,0.022403661,0.024392607,0.026315557,0.026315557,0.018905163,0.019126564,0.022529576,0.023228792,0.023000062,0.022732379,0.02212538,0.024731379,0.023365349,0.024349188,0.02559569,0.02559569
