,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
10,2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2013-03-26,0.0110924635,0.009796875,0.0034407862,0.006628301,0.011935068,0.015118042,0.012694855,0.0061490345,0.00891996,0.010363305,0.008828406,0.016476471,0.010327313,0.0065664835,,0.012563501,0.0067209443,0.005632394,0.007955294,0.009669845,0.010608787,0.008050408,0.004630982,0.007792786,0.01682208,0.01151433,0.01972991,0.011514455,0.005475129,0.0022605073,0.02010998,0.008917785,0.0020885102,0.011721674,0.0048956964,0.0035872364,0.0015354637,0.00618981,0.008403296,0.020001898,0.011357476,0.014272387,0.00901647,0.0028169784,0.00014027611,0.021937272,0.01223728,0.0030770157,0.007929498,0.012722256,0.013607136,0.0055769193,0.005201101,0.010530788,0.019446423,0.0097464,0.0045543103,0.0053415503,0.0006845626,5.9526257e-05,0.022229573,0.016083239,0.013336422,0.010149272,0.00820701,0.0021310537,0.0008187716,0.0057060183,0.0033231138,0.011402962,0.009372498,,,,0.0020000532,0.021041233,0.01972251,0.013995932,0.011238559,0.008204403,,,0.00077287486,0.0044089607,0.014455247,0.010381951,0.0015441468,,,,0.018771678,0.019539235,0.013960357,0.009095165,0.0070616934,0.0061328523,0.0022814602,,,0.006584825,0.012166361,0.0048359656,,,,0.015266971,0.018002322,0.00774269,0.0045327325,0.0027105208,,0.00111075,,,0.006111896,0.004963468,0.001825015,,,,0.022211833,0.020845938,0.012403357,0.0005289541,,0.0060681016,0.002299516,0.0030558375,0.0059013413,0.007703005,0.0013413235,0.0057978155,0.0034075738,,,0.024252981,0.022347717,0.013481892,,,,,,,0.0047448063,0.004065366,0.0056889174,,,,0.029660089,0.025902301,0.014428972,0.0005047198,,,,,,0.0048697083,0.0048651914,0.001601395,,,
13,2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2013-04-16,0.05959314,0.058240112,0.05675296,0.058690917,0.05850956,0.0578529,0.056760177,0.05561512,0.055091694,0.05213045,0.051425178,0.051527712,0.051186766,0.051228706,0.05294425,0.059163637,0.059072096,0.058945686,0.058409918,0.05960382,0.05833316,0.05619973,0.058617406,0.05491059,0.05142332,0.050947513,0.051096976,0.051649585,0.049030457,0.050963722,0.063285954,0.06231977,0.062163483,0.06267444,0.06086916,0.059813153,0.059349865,0.061234597,0.055911172,0.052785177,0.052157275,0.0510757,0.05052955,0.050069597,0.049912687,0.06500123,0.06411692,0.06373387,0.06265596,0.06098746,0.060429707,0.05929649,0.057579685,0.05484472,0.053908315,0.05316017,0.05178374,0.05150076,0.051475633,0.051475465,0.06844832,0.06648276,0.064747654,0.062054746,0.059514757,0.059094895,0.057186745,0.05729808,0.0569893,0.056816086,0.053714305,0.05500341,0.054311793,0.055095494,0.055722065,0.06618388,0.067559876,0.065239936,0.06030903,0.058454998,0.057382878,0.05815119,0.056505315,0.056839135,0.058213565,0.05633562,0.05643279,0.058149856,0.05763022,0.057444666,0.06761492,0.067711495,0.064407475,0.061212543,0.056937262,0.055510372,0.056439348,0.056819063,0.057399876,0.05869445,0.059172414,0.058471277,0.058788773,0.058265656,0.060762003,0.06757413,0.06720155,0.062778056,0.06090362,0.056729954,0.057515133,0.057797503,0.056538995,0.05686808,0.058544848,0.058711212,0.05975142,0.05976736,0.05972023,0.06019561,0.06463642,0.06534317,0.06394491,0.061810657,0.05971126,0.057942055,0.058791205,0.055961978,0.056000046,0.056143995,0.057787195,0.058498584,0.059970845,0.059959203,0.06065855,0.06636144,0.06403163,0.06375162,0.060478266,0.055629347,0.055032913,0.056295227,0.055612795,0.056678135,0.05747775,0.058062825,0.057634626,0.059137262,0.05989278,0.060997512,0.06503199,0.06314891,0.062409002,0.060756333,0.056486256,0.056104902,0.058550887,0.058494087,0.05684977,0.058438066,0.060788095,0.06085334,0.060414128,0.06112194,0.06227513
16,2013-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2013-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2013-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2013-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2013-06-18,0.8806213,0.8933925,0.9041959,0.89916563,0.9059687,0.90878063,0.9075533,0.9073693,0.9025376,0.8995742,0.8932638,0.88864046,0.8868575,0.88830936,0.8887109,0.8858953,0.88585716,0.8935862,0.89742,0.9016839,0.9003128,0.89713037,0.90195817,0.9036091,0.9002791,0.8936281,0.88968676,0.8873386,0.89019907,0.88688487,0.8919988,0.891963,0.8894297,0.8889547,0.89596504,0.898787,0.89802325,0.89996076,0.9008769,0.8979766,0.88497585,0.8880643,0.8889368,0.8908182,0.88768333,0.8932937,0.89166063,0.8894911,0.8880417,0.8929962,0.8990581,,,,0.8950942,0.88272285,0.8814173,0.89100647,0.89024055,0.8903999,0.8920779,0.889464,0.8947038,0.8925922,0.89146113,0.8876343,,,,,0.8898226,0.8800818,0.8747952,0.8822629,0.8924887,0.8919038,0.8891188,0.8932995,0.89147806,0.8852174,0.88810253,,0.8994585,0.8977149,0.89462507,0.89136565,0.8846527,0.8730263,0.87765914,0.8854652,0.89935875,0.89437836,0.8944763,0.8931737,0.8911225,0.8911847,0.8935924,0.8995354,0.9015489,0.8948478,0.8922478,0.8914102,0.8842304,0.8767972,0.87947667,0.90321016,0.89802927,0.8979153,0.89614964,0.8950135,0.89913946,0.8952213,0.89905727,0.90434194,0.8950224,0.8968075,0.89350855,0.8846589,0.8753828,0.8757279,0.9028185,0.90426254,0.9032618,0.9014945,,,,,0.9027821,0.89890647,0.9014711,0.8981395,0.88988996,0.88264424,0.8799885,0.8985633,0.90172994,0.9026688,,,,,,0.8981027,0.8990391,0.9014726,0.89648867,0.8934902,0.8958856,0.8935038,0.8972586,0.90366894,,,,,,,0.9005566,0.90421337,0.8951912,0.89738226,0.894499,,0.9021379
25,2013-06-25,0.8806213,0.8933925,0.9041959,0.89916563,0.9059687,0.90878063,0.9075533,0.9073693,0.9025376,0.8995742,0.8932638,0.88864046,0.8868575,0.88830936,0.8887109,0.8858953,0.88585716,0.8935862,0.89742,0.9016839,0.9003128,0.89713037,0.90195817,0.9036091,0.9002791,0.8936281,0.88968676,0.8873386,0.89019907,0.88688487,0.8919988,0.891963,0.8894297,0.8889547,0.89596504,0.898787,0.89802325,0.89996076,0.9008769,0.8979766,0.88497585,0.8880643,0.8889368,0.8908182,0.88768333,0.8932937,0.89166063,0.8894911,0.8880417,0.8929962,0.8990581,0.89995146,0.8991689,0.89720327,0.8950942,0.88272285,0.8814173,0.89100647,0.89024055,0.8903999,0.8920779,0.889464,0.8947038,0.8925922,0.89146113,0.8876343,0.89121705,0.89940494,0.89661914,0.8933873,0.8898226,0.8800818,0.8747952,0.8822629,0.8924887,0.8919038,0.8891188,0.8932995,0.89147806,0.8852174,0.88810253,0.8941583,0.8994585,0.8977149,0.89462507,0.89136565,0.8846527,0.8730263,0.87765914,0.8854652,0.89935875,0.89437836,0.8944763,0.8931737,0.8911225,0.8911847,0.8935924,0.8995354,0.9015489,0.8948478,0.8922478,0.8914102,0.8842304,0.8767972,0.87947667,0.90321016,0.89802927,0.8979153,0.89614964,0.8950135,0.89913946,0.8952213,0.89905727,0.90434194,0.8950224,0.8968075,0.89350855,0.8846589,0.8753828,0.8757279,0.9028185,0.90426254,0.9032618,0.9014945,0.9015402,0.9020127,0.8985087,0.8999154,0.9027821,0.89890647,0.9014711,0.8981395,0.88988996,0.88264424,0.8799885,0.8985633,0.90172994,0.9026688,0.9016721,0.903963,0.90428597,0.9008139,0.8976309,0.8981027,0.8990391,0.9014726,0.89648867,0.8934902,0.8958856,0.8935038,0.8972586,0.90366894,0.90388477,0.90237963,0.902869,0.9023907,0.90236366,0.90079063,0.9005566,0.90421337,0.8951912,0.89738226,0.894499,0.8976716,0.9021379
26,2013-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2013-07-09,0.83613753,0.85649,0.8662865,0.86242133,0.8679691,0.87171954,0.87360907,0.870158,0.8639696,0.85987365,0.86156625,0.85875666,0.85795397,0.8578075,0.8596945,0.84921324,0.8505038,0.8596611,0.8644844,0.8678752,0.86133766,0.859476,0.86622256,0.86675626,0.86484176,0.86175317,0.8627509,0.8609462,0.8603536,0.8595049,0.85688233,0.8623124,0.8602258,0.8599147,0.8647541,0.8670912,0.86199707,0.865885,0.86598504,0.86539453,0.85592514,0.8617966,0.86116374,0.8601211,0.8588943,0.85806525,0.8656927,0.858712,0.8617172,0.8639078,0.8707355,0.8642319,0.8639789,0.8637056,0.86460626,0.8579186,0.8563134,0.86571205,0.86245257,0.86168593,0.8578217,0.8629446,0.865696,0.86563295,0.8644142,0.8598423,0.8655571,0.87061685,0.8657839,0.8659877,0.86532086,0.85698706,0.84845614,0.85781246,0.8587085,0.8636512,0.8608283,0.8617071,0.8641317,0.85695887,0.85555553,0.86707574,0.87046576,0.8636741,0.8679645,0.8653224,0.85976535,0.8491909,0.8551436,0.85623324,0.87098336,0.8620555,0.86433876,0.8624396,0.85664505,0.8593073,0.8656941,0.87102354,0.8675988,0.8655828,0.86402345,0.8674642,0.861438,0.8578389,0.8591763,0.8692244,0.86856145,0.8691519,0.8673007,0.86592317,0.8660039,0.8639183,0.86590695,0.86750233,0.864712,0.866344,0.86939186,0.8629752,0.85779375,0.8586458,0.8722399,0.8718485,0.87226695,0.8696107,0.87105036,0.8681219,0.863729,0.86484534,0.86839473,0.8658188,0.87124383,0.8698324,0.86340064,0.85771424,0.85416913,0.8711939,0.86978734,0.8688671,0.86416775,0.8696562,0.868903,0.8685119,0.862065,0.87237734,0.87070936,0.8714673,0.87060046,0.86165667,0.86375403,0.86156327,0.8716059,0.8688742,0.8672856,0.8660621,0.8679684,0.86832035,0.869261,0.8692683,0.8680185,0.87574244,0.86782193,0.86909187,0.86204994,0.86292726,0.86722153
28,2013-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2013-07-23,0.85132855,0.8645643,0.87559646,0.8793166,0.88284355,0.8884199,0.8874967,0.88711965,0.88177276,0.8802297,0.87444305,0.8697298,0.8687747,0.8669092,0.8693483,0.8595158,0.8626265,0.87217695,0.8775487,0.8808072,0.8806537,0.8765072,0.8824754,0.8849067,0.8796102,0.8734995,0.87176055,0.8673359,0.86683416,0.86494565,0.86585623,0.8719122,0.87313324,0.8698607,0.8768094,0.8773164,0.87419456,0.8798795,0.88248247,0.87878835,0.86060476,0.8644725,0.86820316,0.8676653,0.8630403,0.86919206,0.87313867,0.86991185,0.86843765,0.8773073,0.8799132,0.87643784,0.87794125,0.87975466,0.8734525,0.8603141,0.8581481,0.8649397,0.86765414,0.86750895,0.8708887,0.86997813,0.87527114,0.86931574,0.86994845,0.8684629,0.8730588,0.87852126,0.8792979,0.8719949,0.86566424,0.85763603,0.85354006,0.8643483,0.8686599,0.87407935,0.87309074,0.8728041,0.8694118,0.86520225,0.8670403,0.87572366,0.87955517,0.8739694,0.8705157,0.86543906,0.86280805,0.8575625,0.86156046,0.863233,0.8801107,0.87706846,0.8715568,0.87245786,0.8692039,0.87253916,0.87662303,0.8822864,0.8780938,0.8739087,0.8709822,0.8736813,0.86522365,0.86061436,0.8599491,0.88154113,0.8804122,0.8798121,0.8797411,0.8784725,0.88200134,0.8792107,0.8791042,0.88118285,0.87767076,0.87862545,0.8781259,0.86877877,0.86071736,0.85770166,0.88261396,0.8840328,0.8830838,0.88148093,0.88236165,0.8814845,0.87389445,0.8739353,0.8794083,0.87886596,0.88169086,0.8805001,0.87093073,0.86287683,0.86249536,0.8794212,0.88217884,0.8811618,0.87865144,0.87939394,0.8797561,0.87811524,0.87282646,0.8783907,0.88148904,0.88122123,0.87435234,0.87482053,0.8733667,0.8737841,0.8754638,0.88269496,0.8797995,0.8797006,0.88199234,0.8808355,0.88248605,0.87959015,0.8798813,0.8833521,0.87593925,0.8752024,0.8729289,0.8753985,0.88407713
30,2013-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2013-08-06,0.85246634,0.85685015,0.86439997,0.8722224,0.8836752,0.8865485,0.88467306,0.8859081,0.88414377,0.87907344,0.8752449,0.8670687,0.8672324,0.8710628,0.87109315,0.8481643,0.8597548,0.8736561,0.87646943,0.8818131,0.87972105,0.8735163,0.88195515,0.8868529,0.8803797,0.877666,0.8717787,0.8700565,0.86732656,0.86696696,0.8683097,0.8764587,0.87081707,0.8657626,0.8754744,0.8798472,0.8693111,0.8776999,0.88216156,0.8795051,0.8686168,0.86884135,0.8600345,0.85974914,0.8572427,0.86369085,0.8742425,0.8702042,0.87082964,0.8760894,0.87821835,0.87423694,0.88082105,0.8790676,0.8752003,0.86340755,0.8555242,0.8575544,0.8581149,0.85936934,0.8680745,0.873278,0.87225235,0.87132627,0.86890537,0.86893594,0.8739435,0.8831388,0.875929,0.8689392,0.8616053,0.8533181,0.8542299,0.86508054,0.8684069,0.8798391,0.87088615,0.87183344,0.87208694,0.86349136,0.86718863,0.87548965,0.8795442,0.8742313,0.86710256,0.8561901,0.86759657,0.8603329,0.8593721,0.86546874,0.8791801,0.8738605,0.87306315,0.8726915,0.87156713,0.8766467,0.88012326,0.8774088,0.8715275,0.87174475,0.8731783,0.87288123,0.86813486,0.8634081,0.8617464,0.88255864,0.88153434,0.8807002,0.881003,0.88267785,0.88302404,0.8744862,0.8739721,0.87819433,0.8786457,0.8775775,0.87714326,0.87002677,0.8627195,0.86210585,0.88496,0.887711,0.8870457,0.8828874,0.8803616,0.88140005,0.87342536,0.87163,0.8793345,0.8785965,0.88250506,0.8792658,0.87195843,0.86803955,0.8636583,0.8832022,0.88570666,0.88111776,0.8755525,0.88137746,0.88181007,0.87766683,0.8754438,0.88102597,0.8821731,0.8797778,0.87832516,0.8753333,0.87468904,0.87654245,0.8778235,0.8803795,0.87840545,0.8800375,0.88308966,0.8810118,0.8826247,0.88282174,0.8815558,0.88441885,0.87939554,0.87515664,0.87397796,0.879505,0.88371783
32,2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2013-08-27,0.8381771,0.8421773,0.84689736,0.8595758,0.8665256,,0.8754036,0.87379026,0.87045556,0.8627858,0.85791826,0.85160816,0.84885275,0.8527556,0.85660076,0.82924175,0.83624613,0.8525075,0.86269945,0.8670658,,,0.8654005,0.8705189,0.86386836,0.86011153,0.8554605,0.8491765,0.85209584,0.8538308,,,0.856463,0.857089,0.8656604,,,,,0.8664387,0.8498947,0.8547674,0.85242033,0.8489909,0.8462118,,0.8549887,0.85427654,0.85454273,0.8625848,0.8654038,,,,0.8617146,0.8540632,0.84367865,0.849597,0.8475923,0.8477345,,0.8547027,0.8585165,0.85680956,0.8546849,0.8555138,,,,,0.8530825,0.84366137,0.8417137,0.85167027,0.854512,,,,0.8536152,,0.8511132,,,0.86049616,0.85556775,0.847299,0.8533722,0.84667856,0.8493443,0.8529778,,0.86173797,,,0.850688,0.85866135,,0.8615794,0.85808945,0.8589969,0.8611927,0.859787,0.8526106,0.85144407,0.8486744,,,,,,,,,0.8612997,0.8635791,0.86190975,0.86257607,0.8562203,0.85219705,0.85157955,,,,,,,,,,0.8603927,0.8646382,0.86340505,0.8588115,0.8536094,0.8487298,,,,,,,,,,0.86537004,0.86355853,0.86170465,0.8571395,0.8540629,0.8409181,,,,,,0.84784544,0.8423969,,0.8648564,0.8680829,,0.85883164,0.8545064,0.8523655,0.8527161
35,2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
