,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
10,2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2013-03-26,,,,,0.0014353569,0.001373391,0.0048464793,0.008018849,0.014468142,0.031137526,0.0360217,,,0.0012001898,0.0080327755,0.0060572987,0.017150821,0.024124166,0.025061158,0.034086235,0.048208803,0.066271074,,,0.0026868298,0.004559992,0.009188987,0.007871923,0.016389513,0.03141557,0.046288904,0.05327945,0.057271656,0.0010830067,0.00090525486,,0.004393741,0.004970856,0.006843203,0.010862268,0.045219336,0.049382936,0.05579344,0.05579344,,,,0.0019803105,0.010403259,0.026152765,0.045116965,0.0503424,0.0490828,0.0490828,0.060326148,,,0.0016341505,0.0027179,0.013999004,0.027249997,0.045119233,0.047547195,0.052738503,0.052738503,0.062764086,0.013235527,0.0045253504,0.0018544818,0.0069441204,0.019318597,0.046821516,0.054223515,0.055349592,0.055349592,0.057569023,0.0719319,0.015056081,0.008834441,0.007648551,0.0136984885,0.024418272,0.05222484,0.061347473,0.06338591,0.06338591,0.05533203,0.06268709,0.016632115,0.01732001,0.024018478,0.05027864,0.057213705,0.04716661,0.047965247,0.047965247,0.053842224,0.055724252,0.084969014,0.025180908,0.033787277,0.09515799,0.11116476,0.10262321,0.071798004,0.0599786,0.0599786,0.058787182,0.07216851,0.079723865,0.04374397,0.06572255,0.10284311,0.1136062,0.10701253,0.08539512,0.071692325,0.071692325,0.06883422,0.058666196,0.06782493
13,2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2013-04-16,0.09333873,0.09018572,0.0848942,0.08276989,0.08119756,0.078439675,0.07421768,0.072508335,0.07145175,0.07121845,0.07320264,0.09244179,0.089663535,0.08555633,0.0827439,0.08105186,0.07921904,0.0763323,0.07489951,0.07305172,0.07269474,0.074486546,0.08907351,0.08590932,0.08453916,0.08060659,0.08037681,0.07728577,0.07728728,0.075010866,0.07302233,0.069313675,0.06873562,0.08635243,0.0864403,0.08287654,0.0779836,0.07452062,0.073236614,0.074106045,0.07125907,0.0707943,0.06895567,0.06895567,0.086357825,0.086147025,0.08133285,0.07692606,0.07408369,0.07439549,0.070553616,0.06773919,0.06984404,0.06984404,0.06829983,0.085579224,0.08286541,0.07939854,0.07793708,0.07452598,0.07499113,0.07124237,0.067664005,0.06751747,0.06751747,0.06650684,0.08251925,0.08073452,0.07768888,0.077417076,0.07638102,0.07460484,0.07122347,0.06850131,0.06850131,0.06790999,0.06786319,0.07523804,0.07503273,0.073493145,0.07451078,0.07442058,0.07167928,0.0700755,0.06790016,0.06790016,0.0669676,0.06612485,0.07200855,0.0715648,0.071414605,0.0707019,0.071071155,0.06803533,0.06707504,0.06707504,0.068424985,0.067320235,0.065707624,0.072730936,0.07407976,0.06914619,0.069071814,0.06888202,0.068741724,0.0674762,0.0674762,0.06682193,0.065757915,0.06604996,0.07294628,0.072613426,0.07088574,0.06877394,0.06860275,0.06819647,0.06921372,0.06921372,0.067650326,0.06621526,0.06564235
16,2013-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2013-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2013-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2013-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2013-06-18,,,,0.9074757,0.8944273,0.86151963,0.8707319,0.8833715,0.88298875,0.87529147,0.8771815,0.89248836,0.9030306,,,0.8914411,0.87238514,0.8681339,0.88203335,0.8885859,0.8874093,0.8895635,,,,,,,,0.85615444,,,,,,,,,,,,,0.902423,0.902423,,,,,,,,0.9069632,,,0.9089166,,,,,,,,,0.90247524,0.90247524,0.9077232,,,,,,,0.90694994,,,,0.892984,,,,,,0.90716594,,0.9070901,0.9070901,0.90655917,0.87905073,,,,,,0.9087673,0.90764797,0.90764797,0.9107744,0.90447956,0.8787345,,,,,,0.90296674,0.90098476,0.90098476,0.90296596,0.89882827,0.89924043,,,,0.91146314,0.90792847,0.90264636,0.90288913,0.90288913,0.9023619,0.8983683,0.90039295
25,2013-06-25,0.9037511,0.90165097,0.9082291,0.9074757,0.8944273,0.86151963,0.8707319,0.8833715,0.88298875,0.87529147,0.8771815,0.89248836,0.9030306,0.9031214,0.90246665,0.8914411,0.87238514,0.8681339,0.88203335,0.8885859,0.8874093,0.8895635,0.8601662,0.875402,0.8923988,0.8986117,0.9033706,0.89266926,0.8636889,0.85615444,0.8852491,0.8959081,0.8985861,0.839468,0.88506,0.9063771,0.90616137,0.90958947,0.90194225,0.8857357,0.90485376,0.9095842,0.902423,0.902423,0.87967265,0.9078729,0.9031208,0.9064174,0.9064554,0.8957633,0.90047354,0.9069632,0.9089591,0.9089591,0.9089166,0.90532184,0.9059999,0.9057241,0.90412253,0.89972293,0.89733624,0.9019627,0.90099555,0.90247524,0.90247524,0.9077232,0.9061822,0.910895,0.90349466,0.89733595,0.89662224,0.90268123,0.90694994,0.8995857,0.8995857,0.89886904,0.892984,0.9103872,0.9115086,0.9020169,0.90190005,0.9023385,0.90716594,0.90845996,0.9070901,0.9070901,0.90655917,0.87905073,0.91193575,0.9119146,0.90979135,0.90739846,0.9099504,0.9087673,0.90764797,0.90764797,0.9107744,0.90447956,0.8787345,0.9128355,0.9140758,0.9139193,0.91275436,0.90992,0.90296674,0.90098476,0.90098476,0.90296596,0.89882827,0.89924043,0.91077,0.90778685,0.91212827,0.91146314,0.90792847,0.90264636,0.90288913,0.90288913,0.9023619,0.8983683,0.90039295
26,2013-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2013-07-09,0.8655332,0.8626749,0.87208444,0.87217116,0.8607189,0.8293048,0.8412627,0.8456417,0.84550804,0.84886134,0.8409673,0.84698176,0.8646852,0.86626226,0.865166,0.85672873,0.83503246,0.83128405,0.84180343,0.8567922,0.8546476,0.8578462,0.7990552,0.8445183,0.85507894,0.86421216,0.86905956,0.85451186,0.8238281,0.81997734,0.85454965,0.86447215,0.8643875,0.77885056,0.86226916,0.87183344,0.86922777,0.8725934,0.8627774,0.8421591,0.86467195,0.87271994,0.8654525,0.8654525,0.8441187,0.87118196,0.86301345,0.86503935,0.8683079,0.8591241,0.8627171,0.8699348,0.8720282,0.8720282,0.8723067,0.8727477,0.86898935,0.8682108,0.8686371,0.8605846,0.8620731,0.8654688,0.86182207,0.86296487,0.86296487,0.86967003,0.87510383,0.8727935,0.8646339,0.8612725,0.8535925,0.8688201,0.8762101,0.86458427,0.86458427,0.86236924,0.8586467,0.8751223,0.87252045,0.8648094,0.8622446,0.8589082,0.87077713,0.87441605,0.87173074,0.87173074,0.86349523,0.8353119,0.87557614,0.87509656,0.8701948,0.868877,0.8652847,0.86048204,0.86079633,0.86079633,0.8684009,0.86365765,0.82823825,0.87480336,0.87497634,0.8756072,0.86692137,0.8554526,0.84798026,0.84617496,0.84617496,0.8576678,0.85319406,0.85566926,0.87108934,0.86565053,0.8743969,0.8617778,0.8572964,0.85319084,0.8552928,0.8552928,0.8576026,0.85150445,0.8550409
28,2013-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2013-07-23,0.883648,0.88035554,0.88726515,0.8847307,0.871966,0.8380752,0.8447547,0.85363823,0.8578848,0.85306346,0.85502523,0.8656555,0.8842473,0.878935,0.8831299,0.87170976,0.83871365,0.82252043,0.84908384,0.86617684,0.86637264,0.8714601,0.81905717,0.84630567,0.8700781,0.88092786,0.88813484,0.86957866,0.8258875,0.8230739,0.8656477,0.8782563,0.87920964,0.7964022,0.8703455,0.8927102,0.8923304,0.8949613,0.88403463,0.86208665,0.88554245,0.89038885,0.88346404,0.88346404,0.8562302,0.8918346,0.88633716,0.890002,0.88708603,0.8765761,0.88352597,0.88848525,0.8918079,0.8918079,0.89315385,0.887756,0.89146304,0.8907624,0.8875704,0.8803487,0.8799254,0.8839075,0.8815665,0.8835639,0.8835639,0.8913087,0.89113563,0.8956068,0.88631046,0.88060385,0.87696475,0.8847756,0.88984305,0.88224536,0.88224536,0.8813493,0.87708676,0.890871,0.8956163,0.88641673,0.8827983,0.8819832,0.8904204,0.8975042,0.8930835,0.8930835,0.8884642,0.85961205,0.892914,0.89633656,0.8926999,0.8892378,0.8899923,0.8879824,0.8824255,0.8824255,0.88791716,0.88230115,0.8587801,0.89381677,0.89607257,0.8969817,0.89501727,0.88501513,0.8733423,0.87311924,0.87311924,0.87831795,0.8740864,0.87364703,0.8857607,0.8866974,0.8947451,0.8886268,0.8824431,0.87354827,0.8742791,0.8742791,0.87831295,0.8698655,0.8714254
30,2013-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2013-08-06,0.881195,0.87554216,0.8835789,0.8892541,0.8707758,0.8355169,0.8341011,0.8304072,0.85234827,0.8522918,0.8507588,0.86511123,0.8793895,0.8749073,0.8813789,0.8649525,0.8186606,0.8022354,0.83584845,0.86035174,0.8628212,0.86849695,0.8122282,0.86206496,0.8752508,0.8835273,0.88950413,0.8717588,0.81253636,0.821682,0.86573994,0.87432003,0.8786738,0.7564646,0.87947005,0.89411056,0.891932,0.8937116,0.88782066,0.84671336,0.8800392,0.8853195,0.88571936,0.88571936,0.8685857,0.89054215,0.89125055,0.89215595,0.8791699,0.8769566,0.8777288,0.88741565,0.8898786,0.8898786,0.8902797,0.8873549,0.8938048,0.8873444,0.8856999,0.8734227,0.87637174,0.8784069,0.8758101,0.88330346,0.88330346,0.8872802,0.8887949,0.89242065,0.88311756,0.87976474,0.87108135,0.88197684,0.8835764,0.87796026,0.87796026,0.879577,0.8868226,0.88868797,0.8889296,0.88536346,0.8786324,0.87637573,0.8842828,0.88802654,0.88948935,0.88948935,0.88909066,0.8524481,0.8925288,0.893448,0.8925354,0.884633,0.8897257,0.8797558,0.87469023,0.87469023,0.8857731,0.8815002,0.85184234,0.8865598,0.8937036,0.89125925,0.8917542,0.88697416,0.86034864,0.8628956,0.8628956,0.8734748,0.8752164,0.8675369,0.8762349,0.88107944,0.8870564,0.88825715,0.881124,0.8688567,0.8703771,0.8703771,0.8731256,0.861373,0.8650079
32,2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2013-08-27,,,,,,,0.834655,0.83525723,,,,,,,,,0.8221365,0.81455153,,,,,,,,,,,0.81917924,,,,,0.76105076,,,,,,0.8472964,,,,,,,,,,,,,,,,,0.8855191,0.88209486,,,,,,,,,,0.8874005,0.87699443,,,,,,,,,0.883153,0.885808,,,,,,,,,,0.8818546,,,,,,0.86794215,0.86794215,0.8725348,0.85461754,0.8458028,,,,,,0.852363,0.8490556,0.8490556,0.86019534,0.8572211,,,,,,0.8626166,0.85496455,0.85801536,0.85801536,0.8591307,0.846098,0.8505834
35,2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2013-10-08,0.075077154,0.07816059,0.07984007,0.078725174,0.07635248,0.074404724,0.07513449,0.07360355,0.076427355,0.07735113,0.07160811,0.09328019,0.09411823,0.089185834,0.083044104,0.07502453,0.07408359,0.07574019,0.07620003,0.07532588,0.07726622,0.0732821,0.10354104,0.10317702,0.091715895,0.09208202,0.08834667,0.082394786,0.07955909,0.080667466,0.080768496,0.07517057,0.07922319,0.106978156,0.106158905,0.10673958,0.10191792,0.09614818,0.09517736,0.09233401,0.09818558,0.09004792,0.07690829,0.07690829,0.11614434,0.11254319,0.10909364,0.10290361,0.09790679,0.10175597,0.10263064,0.104234256,0.09573588,0.09573588,0.079507634,0.118562706,0.1154278,0.113668084,0.11174111,0.09549077,0.09161246,0.09820131,0.095148906,0.094931394,0.094931394,0.08550886,0.12408678,0.12813911,0.123601496,0.11465635,0.10882806,0.10503426,0.095658734,0.087024726,0.087024726,0.08517288,0.07722028,0.12078581,0.1260348,0.11863962,0.11420076,0.11292563,0.11289964,0.09602714,0.084086515,0.084086515,0.07874263,0.07303077,0.109286726,0.11652706,0.112386115,0.10484344,0.09878521,0.09278583,0.08841355,0.08841355,0.08454323,0.08022838,0.07662372,0.11574293,0.11633106,0.10283324,0.0892988,0.087305516,0.08690518,0.08351967,0.08351967,0.07924355,0.07729632,0.082735844,0.09517066,0.09220419,0.09007304,0.08046258,0.06538918,0.0718123,0.07975695,0.07975695,0.074223995,0.07593887,0.081631325
41,2013-10-15,0.075077154,0.07816059,0.07984007,0.078725174,0.07635248,0.074404724,0.07513449,0.07360355,0.076427355,0.07735113,0.07160811,0.09328019,0.09411823,0.089185834,0.083044104,0.07502453,0.07408359,0.07574019,0.07620003,0.07532588,0.07726622,0.0732821,0.10354104,0.10317702,0.091715895,0.09208202,0.08834667,0.082394786,0.07955909,0.080667466,0.080768496,0.07517057,0.07922319,0.106978156,0.106158905,0.10673958,0.10191792,0.09614818,0.09517736,0.09233401,0.09818558,0.09004792,0.07690829,0.07690829,0.11614434,0.11254319,0.10909364,0.10290361,0.09790679,0.10175597,0.10263064,0.104234256,0.09573588,0.09573588,0.079507634,0.118562706,0.1154278,0.113668084,0.11174111,0.09549077,0.09161246,0.09820131,0.095148906,0.094931394,0.094931394,0.08550886,0.12408678,0.12813911,0.123601496,0.11465635,0.10882806,0.10503426,0.095658734,0.087024726,0.087024726,0.08517288,0.07722028,0.12078581,0.1260348,0.11863962,0.11420076,0.11292563,0.11289964,0.09602714,0.084086515,0.084086515,0.07874263,0.07303077,0.109286726,0.11652706,0.112386115,0.10484344,0.09878521,0.09278583,0.08841355,0.08841355,0.08454323,0.08022838,0.07662372,0.11574293,0.11633106,0.10283324,0.0892988,0.087305516,0.08690518,0.08351967,0.08351967,0.07924355,0.07729632,0.082735844,0.09517066,0.09220419,0.09007304,0.08046258,0.06538918,0.0718123,0.07975695,0.07975695,0.074223995,0.07593887,0.081631325
42,2013-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2013-10-29,0.06181321,0.07561231,0.09696118,0.11502299,0.1201183,0.12488506,0.117990464,0.118048005,0.10063043,0.10313895,0.111075714,0.07392225,0.10330407,0.12794098,0.14751437,0.15117913,0.15044434,0.14602305,0.1299306,0.103433795,0.1225099,0.12376289,0.0911522,0.119612955,0.1408604,0.17200688,0.19368753,0.28412485,0.2863312,0.189672,0.14354041,0.15722305,0.18101785,0.11698762,0.14075373,0.15704228,0.20840308,0.3316244,,0.47488275,0.3879491,0.20700347,0.14070098,0.14070098,0.14142288,0.15991402,0.15671839,0.2359658,0.4517637,0.31351614,0.21870942,0.2388256,0.18682082,0.18682082,0.12305819,0.18825369,,,0.44880775,0.2721446,0.16570812,0.12144343,0.17956096,0.18732394,0.18732394,0.13259526,0.5261128,,,0.26766136,0.14859147,0.09489425,0.11287159,0.17159174,0.17159174,0.17943873,0.17742108,,,0.30970147,0.16527,0.12219377,0.10980034,0.13484533,0.1639439,0.1639439,0.19022368,0.2285176,,0.37832025,0.19525185,0.12827526,0.12002627,0.11797686,0.14495434,0.14495434,0.16605027,0.19233109,0.22866331,0.29886094,0.18484871,0.13082552,0.12283233,0.13297649,0.15266554,0.17650105,0.17650105,0.2005169,0.2120343,0.24426723,0.13155061,0.08860818,0.078051195,0.110158354,0.14535286,0.18952891,0.23610426,0.23610426,0.2486572,0.2198667,0.18852189
44,2013-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2013-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2013-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2013-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2013-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2671627,,,,,,,,0.35016465,0.35016465,0.29942694,0.307242,,,,,,,,,,,,,,,,0.2712406,0.34537476,,,,,,,,0.3532736,,,,,,,,,,,0.2884181,,,,,,,,
51,2013-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2013-12-31,,,,,,,,,,,0.008374972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
